frame,vehicle_type
frame_270.jpg,car
frame_270.jpg,person
frame_270.jpg,car
frame_270.jpg,person
frame_270.jpg,car
frame_2700.jpg,traffic light
frame_2700.jpg,person
frame_2700.jpg,car
frame_2700.jpg,person
frame_2700.jpg,car
frame_2700.jpg,person
frame_2700.jpg,car
frame_2700.jpg,car
frame_2700.jpg,person
frame_2700.jpg,truck
frame_2700.jpg,car
frame_2700.jpg,car
frame_2700.jpg,person
frame_2700.jpg,bus
frame_2700.jpg,bus
frame_2700.jpg,car
frame_2700.jpg,truck
frame_2700.jpg,car
frame_2730.jpg,person
frame_2730.jpg,person
frame_2730.jpg,bus
frame_2730.jpg,person
frame_2730.jpg,person
frame_2730.jpg,car
frame_2730.jpg,car
frame_2730.jpg,bus
frame_2730.jpg,person
frame_2730.jpg,traffic light
frame_2730.jpg,truck
frame_2730.jpg,car
frame_2730.jpg,traffic light
frame_2730.jpg,truck
frame_2730.jpg,car
frame_2730.jpg,car
frame_2760.jpg,person
frame_2760.jpg,car
frame_2760.jpg,truck
frame_2760.jpg,person
frame_2760.jpg,car
frame_2760.jpg,bus
frame_2760.jpg,car
frame_2760.jpg,bus
frame_2760.jpg,traffic light
frame_2760.jpg,person
frame_2760.jpg,car
frame_2760.jpg,car
frame_2760.jpg,traffic light
frame_2790.jpg,car
frame_2790.jpg,person
frame_2790.jpg,bus
frame_2790.jpg,person
frame_2790.jpg,person
frame_2790.jpg,car
frame_2790.jpg,car
frame_2790.jpg,traffic light
frame_2790.jpg,truck
frame_2790.jpg,car
frame_2790.jpg,truck
frame_2790.jpg,car
frame_2790.jpg,traffic light
frame_2820.jpg,car
frame_2820.jpg,truck
frame_2820.jpg,car
frame_2820.jpg,car
frame_2820.jpg,person
frame_2820.jpg,traffic light
frame_2820.jpg,car
frame_2820.jpg,car
frame_2820.jpg,car
frame_2820.jpg,person
frame_2820.jpg,truck
frame_2820.jpg,traffic light
frame_2820.jpg,car
frame_2820.jpg,traffic light
frame_2820.jpg,car
frame_2850.jpg,truck
frame_2850.jpg,train
frame_2850.jpg,person
frame_2850.jpg,car
frame_2850.jpg,person
frame_2850.jpg,person
frame_2850.jpg,person
frame_2850.jpg,car
frame_2850.jpg,traffic light
frame_2850.jpg,car
frame_2850.jpg,person
frame_2850.jpg,bus
frame_2850.jpg,truck
frame_2850.jpg,car
frame_2850.jpg,person
frame_2850.jpg,suitcase
frame_2850.jpg,person
frame_2850.jpg,car
frame_2850.jpg,traffic light
frame_2850.jpg,car
frame_2880.jpg,person
frame_2880.jpg,person
frame_2880.jpg,person
frame_2880.jpg,person
frame_2880.jpg,truck
frame_2880.jpg,truck
frame_2880.jpg,person
frame_2880.jpg,truck
frame_2880.jpg,car
frame_2880.jpg,person
frame_2880.jpg,car
frame_2880.jpg,car
frame_2880.jpg,traffic light
frame_2880.jpg,traffic light
frame_2880.jpg,bus
frame_2880.jpg,person
frame_2880.jpg,truck
frame_2880.jpg,car
frame_2880.jpg,person
frame_2880.jpg,traffic light
frame_2880.jpg,person
frame_2910.jpg,person
frame_2910.jpg,person
frame_2910.jpg,person
frame_2910.jpg,truck
frame_2910.jpg,truck
frame_2910.jpg,car
frame_2910.jpg,traffic light
frame_2910.jpg,person
frame_2910.jpg,truck
frame_2910.jpg,traffic light
frame_2910.jpg,traffic light
frame_2910.jpg,car
frame_2910.jpg,car
frame_2910.jpg,traffic light
frame_2910.jpg,car
frame_2910.jpg,car
frame_2910.jpg,car
frame_2940.jpg,person
frame_2940.jpg,person
frame_2940.jpg,person
frame_2940.jpg,person
frame_2940.jpg,car
frame_2940.jpg,car
frame_2940.jpg,bus
frame_2940.jpg,person
frame_2940.jpg,car
frame_2940.jpg,truck
frame_2940.jpg,car
frame_2940.jpg,truck
frame_2940.jpg,traffic light
frame_2940.jpg,person
frame_2970.jpg,car
frame_2970.jpg,car
frame_2970.jpg,car
frame_2970.jpg,person
frame_2970.jpg,bus
frame_2970.jpg,person
frame_2970.jpg,traffic light
frame_2970.jpg,car
frame_2970.jpg,person
frame_2970.jpg,truck
frame_2970.jpg,car
frame_2970.jpg,car
frame_30.jpg,traffic light
frame_30.jpg,car
frame_30.jpg,traffic light
frame_30.jpg,person
frame_30.jpg,truck
frame_30.jpg,traffic light
frame_30.jpg,car
frame_30.jpg,person
frame_30.jpg,car
frame_30.jpg,car
frame_30.jpg,motorcycle
frame_30.jpg,person
frame_300.jpg,car
frame_300.jpg,car
frame_300.jpg,car
frame_300.jpg,person
frame_300.jpg,car
frame_300.jpg,car
frame_300.jpg,person
frame_300.jpg,traffic light
frame_300.jpg,motorcycle
frame_3000.jpg,truck
frame_3000.jpg,car
frame_3000.jpg,traffic light
frame_3000.jpg,truck
frame_3000.jpg,car
frame_3000.jpg,car
frame_3000.jpg,car
frame_3000.jpg,car
frame_3000.jpg,truck
frame_3000.jpg,car
frame_3000.jpg,car
frame_3000.jpg,car
frame_3030.jpg,person
frame_3030.jpg,person
frame_3030.jpg,car
frame_3030.jpg,traffic light
frame_3030.jpg,car
frame_3030.jpg,person
frame_3030.jpg,truck
frame_3030.jpg,car
frame_3030.jpg,train
frame_3030.jpg,parking meter
frame_3030.jpg,car
frame_3030.jpg,car
frame_3030.jpg,car
